H,S,V,Cor
0,120,255,Rosa
0,135,0,Preto
0,135,15,Preto
0,135,30,Preto
0,135,45,Marrom
0,135,60,Marrom
0,135,75,Marrom
0,135,90,Marrom
0,135,105,Marrom
0,135,120,Marrom
0,135,135,Vermelho Escuro
0,135,150,Vermelho
0,135,165,Vermelho
0,135,180,Vermelho
0,135,195,Rosa
0,135,210,Rosa
0,135,225,Rosa
0,135,240,Rosa
0,135,255,Rosa
0,150,0,Preto
0,150,15,Preto
0,150,30,Preto
0,150,45,Marrom
0,150,60,Marrom
0,150,75,Marrom
0,150,90,Marrom
0,150,105,Marrom
0,150,120,Marrom
0,150,135,Vermelho Escuro
0,150,150,Vermelho
0,150,165,Vermelho
0,150,180,Vermelho
0,150,195,Vermelho
0,150,210,Vermelho
0,150,225,Vermelho
0,150,240,Vermelho
0,150,255,Vermelho
0,165,0,Preto
0,165,15,Preto
0,165,30,Preto
0,165,45,Marrom
0,165,60,Marrom
0,165,75,Marrom
0,165,90,Marrom
0,165,105,Marrom
0,165,120,Marrom
0,165,135,Vermelho Escuro
0,165,150,Vermelho
0,165,165,Vermelho
0,165,180,Vermelho
0,165,195,Vermelho
0,165,210,Vermelho
0,165,225,Vermelho
0,165,240,Vermelho
0,165,255,Vermelho
0,180,0,Preto
0,180,15,Preto
0,180,30,Preto
0,180,45,Marrom
0,180,60,Marrom
0,180,75,Marrom
0,180,90,Marrom
0,180,105,Marrom
0,180,120,Marrom
0,180,135,Vermelho Escuro
0,180,150,Vermelho
0,180,165,Vermelho
0,180,180,Vermelho
0,180,195,Vermelho
0,180,210,Vermelho
0,180,225,Vermelho
0,180,240,Vermelho
0,180,255,Vermelho
0,195,0,Preto
0,195,15,Preto
0,195,30,Preto
0,195,45,Marrom
0,195,60,Marrom
0,195,75,Marrom
0,195,90,Marrom
0,195,105,Marrom
0,195,120,Marrom
0,195,135,Vermelho Escuro
0,195,150,Vermelho
0,195,165,Vermelho
0,195,180,Vermelho
0,195,195,Vermelho
0,195,210,Vermelho
0,195,225,Vermelho
0,195,240,Vermelho
0,195,255,Vermelho
0,210,0,Preto
0,210,15,Preto
0,210,30,Preto
0,210,45,Marrom
0,210,60,Marrom
0,210,75,Marrom
0,210,90,Marrom
0,210,105,Marrom
0,210,120,Marrom
0,210,135,Vermelho Escuro
0,210,150,Vermelho
0,210,165,Vermelho
0,210,180,Vermelho
0,210,195,Vermelho
0,210,210,Vermelho
0,210,225,Vermelho
0,210,240,Vermelho
0,210,255,Vermelho
0,225,0,Preto
0,225,15,Preto
0,225,30,Preto
0,225,45,Marrom
0,225,60,Marrom
0,225,75,Marrom
0,225,90,Marrom
0,225,105,Marrom
0,225,120,Marrom
0,225,135,Vermelho Escuro
0,225,150,Vermelho
0,225,165,Vermelho
0,225,180,Vermelho
0,225,195,Vermelho
0,225,210,Vermelho
0,225,225,Vermelho
0,225,240,Vermelho
0,225,255,Vermelho
0,240,0,Preto
0,240,15,Preto
0,240,30,Preto
0,240,45,Marrom
0,240,60,Marrom
0,240,75,Marrom
0,240,90,Marrom
0,240,105,Marrom
0,240,120,Marrom
0,240,135,Vermelho Escuro
0,240,150,Vermelho
0,240,165,Vermelho
0,240,180,Vermelho
0,240,195,Vermelho
0,240,210,Vermelho
0,240,225,Vermelho
0,240,240,Vermelho
0,240,255,Vermelho
0,255,0,Preto
0,255,15,Preto
0,255,30,Preto
0,255,45,Marrom
0,255,60,Marrom
0,255,75,Marrom
0,255,90,Marrom
0,255,105,Marrom
0,255,120,Marrom
0,255,135,Vermelho Escuro
0,255,150,Vermelho
0,255,165,Vermelho
0,255,180,Vermelho
0,255,195,Vermelho
0,255,210,Vermelho
0,255,225,Vermelho
0,255,240,Vermelho
0,255,255,Vermelho
4,0,0,Preto
4,0,15,Preto
4,0,30,Preto
4,0,45,Cinza
4,0,60,Cinza
4,0,75,Cinza
4,0,90,Cinza
4,0,105,Cinza
4,0,120,Cinza
4,0,135,Cinza
4,0,150,Cinza
4,0,165,Cinza
4,0,180,Cinza
4,0,195,Cinza
4,0,210,Branco
4,0,225,Branco
4,0,240,Branco
4,0,255,Branco
4,15,0,Preto
4,15,15,Preto
4,15,30,Preto
4,15,45,Cinza
4,15,60,Cinza
4,15,75,Cinza
4,15,90,Cinza
4,15,105,Cinza
4,15,120,Cinza
4,15,135,Cinza
4,15,150,Cinza
4,15,165,Cinza
4,15,180,Cinza
4,15,195,Cinza
4,15,210,Branco
4,15,225,Branco
4,15,240,Branco
4,15,255,Branco
4,30,0,Preto
4,30,15,Preto
4,30,30,Preto
4,30,45,Cinza
4,30,60,Cinza
4,30,75,Cinza
4,30,90,Cinza
4,30,105,Cinza
4,30,120,Cinza
4,30,135,Cinza
4,30,150,Cinza
4,30,165,Cinza
4,30,180,Cinza
4,30,195,Cinza
4,30,210,Branco
4,30,225,Branco
4,30,240,Branco
4,30,255,Branco
4,45,0,Preto
4,45,15,Preto
4,45,30,Preto
4,45,45,Cinza
4,45,60,Cinza
4,45,75,Cinza
4,45,90,Cinza
4,45,105,Cinza
4,45,120,Cinza
4,45,135,Cinza
4,45,150,Cinza
4,45,165,Cinza
4,45,180,Cinza
4,45,195,Cinza
4,45,210,Rosa
4,45,225,Rosa
4,45,240,Rosa
4,45,255,Rosa
4,60,0,Preto
4,60,15,Preto
4,60,30,Preto
4,60,45,Marrom
4,60,60,Marrom
4,60,75,Marrom
4,60,90,Marrom
4,60,105,Marrom
4,60,120,Marrom
4,60,135,Vermelho Escuro
4,60,150,Vermelho
4,60,165,Vermelho
4,60,180,Vermelho
4,60,195,Rosa
4,60,210,Rosa
4,60,225,Rosa
4,60,240,Rosa
4,60,255,Rosa
4,75,0,Preto
4,75,15,Preto
4,75,30,Preto
4,75,45,Marrom
4,75,60,Marrom
4,75,75,Marrom
4,75,90,Marrom
4,75,105,Marrom
4,75,120,Marrom
4,75,135,Vermelho Escuro
4,75,150,Vermelho
4,75,165,Vermelho
4,75,180,Vermelho
4,75,195,Rosa
4,75,210,Rosa
4,75,225,Rosa
4,75,240,Rosa
4,75,255,Rosa
4,90,0,Preto
4,90,15,Preto
4,90,30,Preto
4,90,45,Marrom
4,90,60,Marrom
4,90,75,Marrom
4,90,90,Marrom
4,90,105,Marrom
4,90,120,Marrom
4,90,135,Vermelho Escuro
4,90,150,Vermelho
4,90,165,Vermelho
4,90,180,Vermelho
4,90,195,Rosa
4,90,210,Rosa
4,90,225,Rosa
4,90,240,Rosa
4,90,255,Rosa
4,105,0,Preto
4,105,15,Preto
4,105,30,Preto
4,105,45,Marrom
4,105,60,Marrom
4,105,75,Marrom
4,105,90,Marrom
4,105,105,Marrom
4,105,120,Marrom
4,105,135,Vermelho Escuro
4,105,150,Vermelho
4,105,165,Vermelho
4,105,180,Vermelho
4,105,195,Rosa
4,105,210,Rosa
4,105,225,Rosa
4,105,240,Rosa
4,105,255,Rosa
4,120,0,Preto
4,120,15,Preto
4,120,30,Preto
4,120,45,Marrom
4,120,60,Marrom
4,120,75,Marrom
4,120,90,Marrom
4,120,105,Marrom
4,120,120,Marrom
4,120,135,Vermelho Escuro
4,120,150,Vermelho
4,120,165,Vermelho
4,120,180,Vermelho
4,120,195,Rosa
4,120,210,Rosa
4,120,225,Rosa
4,120,240,Rosa
4,120,255,Rosa
4,135,0,Preto
4,135,15,Preto
4,135,30,Preto
4,135,45,Marrom
4,135,60,Marrom
4,135,75,Marrom
4,135,90,Marrom
4,135,105,Marrom
4,135,120,Marrom
4,135,135,Vermelho Escuro
4,135,150,Vermelho
4,135,165,Vermelho
4,135,180,Vermelho
4,135,195,Rosa
4,135,210,Rosa
4,135,225,Rosa
4,135,240,Rosa
4,135,255,Rosa
4,150,0,Preto
4,150,15,Preto
4,150,30,Preto
4,150,45,Marrom
4,150,60,Marrom
4,150,75,Marrom
4,150,90,Marrom
4,150,105,Marrom
4,150,120,Marrom
4,150,135,Vermelho Escuro
4,150,150,Vermelho
4,150,165,Vermelho
4,150,180,Vermelho
4,150,195,Vermelho
4,150,210,Vermelho
4,150,225,Vermelho
4,150,240,Vermelho
4,150,255,Vermelho
4,165,0,Preto
4,165,15,Preto
4,165,30,Preto
4,165,45,Marrom
4,165,60,Marrom
4,165,75,Marrom
4,165,90,Marrom
4,165,105,Marrom
4,165,120,Marrom
4,165,135,Vermelho Escuro
4,165,150,Vermelho
4,165,165,Vermelho
4,165,180,Vermelho
4,165,195,Vermelho
4,165,210,Vermelho
4,165,225,Vermelho
4,165,240,Vermelho
4,165,255,Vermelho
4,180,0,Preto
4,180,15,Preto
4,180,30,Preto
4,180,45,Marrom
4,180,60,Marrom
4,180,75,Marrom
4,180,90,Marrom
4,180,105,Marrom
4,180,120,Marrom
4,180,135,Vermelho Escuro
4,180,150,Vermelho
4,180,165,Vermelho
4,180,180,Vermelho
4,180,195,Vermelho
4,180,210,Vermelho
4,180,225,Vermelho
4,180,240,Vermelho
4,180,255,Vermelho
4,195,0,Preto
4,195,15,Preto
4,195,30,Preto
4,195,45,Marrom
4,195,60,Marrom
4,195,75,Marrom
4,195,90,Marrom
4,195,105,Marrom
4,195,120,Marrom
4,195,135,Vermelho Escuro
4,195,150,Vermelho
4,195,165,Vermelho
4,195,180,Vermelho
4,195,195,Vermelho
4,195,210,Vermelho
4,195,225,Vermelho
4,195,240,Vermelho
4,195,255,Vermelho
4,210,0,Preto
4,210,15,Preto
4,210,30,Preto
4,210,45,Marrom
4,210,60,Marrom
4,210,75,Marrom
4,210,90,Marrom
4,210,105,Marrom
4,210,120,Marrom
4,210,135,Vermelho Escuro
4,210,150,Vermelho
4,210,165,Vermelho
4,210,180,Vermelho
4,210,195,Vermelho
4,210,210,Vermelho
4,210,225,Vermelho
4,210,240,Vermelho
4,210,255,Vermelho
4,225,0,Preto
4,225,15,Preto
4,225,30,Preto
4,225,45,Marrom
4,225,60,Marrom
4,225,75,Marrom
4,225,90,Marrom
4,225,105,Marrom
4,225,120,Marrom
4,225,135,Vermelho Escuro
4,225,150,Vermelho
4,225,165,Vermelho
4,225,180,Vermelho
4,225,195,Vermelho
4,225,210,Vermelho
4,225,225,Vermelho
4,225,240,Vermelho
4,225,255,Vermelho
4,240,0,Preto
4,240,15,Preto
4,240,30,Preto
4,240,45,Marrom
4,240,60,Marrom
4,240,75,Marrom
4,240,90,Marrom
4,240,105,Marrom
4,240,120,Marrom
4,240,135,Vermelho Escuro
4,240,150,Vermelho
4,240,165,Vermelho
4,240,180,Vermelho
4,240,195,Vermelho
4,240,210,Vermelho
4,240,225,Vermelho
4,240,240,Vermelho
4,240,255,Vermelho
4,255,0,Preto
4,255,15,Preto
4,255,30,Preto
4,255,45,Marrom
4,255,60,Marrom
4,255,75,Marrom
4,255,90,Marrom
4,255,105,Marrom
4,255,120,Marrom
4,255,135,Vermelho Escuro
4,255,150,Vermelho
4,255,165,Vermelho
4,255,180,Vermelho
4,255,195,Vermelho
4,255,210,Vermelho
4,255,225,Vermelho
4,255,240,Vermelho
4,255,255,Vermelho
8,0,0,Preto
8,0,15,Preto
8,0,30,Preto
8,0,45,Cinza
8,0,60,Cinza
8,0,75,Cinza
8,0,90,Cinza
8,0,105,Cinza
8,0,120,Cinza
8,0,135,Cinza
8,0,150,Cinza
8,0,165,Cinza
8,0,180,Cinza
8,0,195,Cinza
8,0,210,Branco
8,0,225,Branco
8,0,240,Branco
8,0,255,Branco
8,15,0,Preto
8,15,15,Preto
8,15,30,Preto
8,15,45,Cinza
8,15,60,Cinza
8,15,75,Cinza
8,15,90,Cinza
8,15,105,Cinza
8,15,120,Cinza
8,15,135,Cinza
8,15,150,Cinza
8,15,165,Cinza
8,15,180,Cinza
8,15,195,Cinza
8,15,210,Branco
8,15,225,Branco
8,15,240,Branco
8,15,255,Branco
8,30,0,Preto
8,30,15,Preto
8,30,30,Preto
8,30,45,Cinza
8,30,60,Cinza
8,30,75,Cinza
8,30,90,Cinza
8,30,105,Cinza
8,30,120,Cinza
8,30,135,Cinza
8,30,150,Cinza
8,30,165,Cinza
8,30,180,Cinza
8,30,195,Cinza
8,30,210,Branco
8,30,225,Branco
8,30,240,Branco
8,30,255,Branco
8,45,0,Preto
8,45,15,Preto
8,45,30,Preto
8,45,45,Cinza
8,45,60,Cinza
8,45,75,Cinza
8,45,90,Cinza
8,45,105,Cinza
8,45,120,Cinza
8,45,135,Cinza
8,45,150,Cinza
8,45,165,Cinza
8,45,180,Cinza
8,45,195,Cinza
8,45,210,Rosa
8,45,225,Rosa
8,45,240,Rosa
8,45,255,Rosa
8,60,0,Preto
8,60,15,Preto
8,60,30,Preto
8,60,45,Marrom
8,60,60,Marrom
8,60,75,Marrom
8,60,90,Marrom
8,60,105,Marrom
8,60,120,Marrom
8,60,135,Vermelho Escuro
8,60,150,Vermelho
8,60,165,Vermelho
8,60,180,Vermelho
8,60,195,Rosa
8,60,210,Rosa
8,60,225,Rosa
8,60,240,Rosa
8,60,255,Rosa
8,75,0,Preto
8,75,15,Preto
8,75,30,Preto
8,75,45,Marrom
8,75,60,Marrom
8,75,75,Marrom
8,75,90,Marrom
8,75,105,Marrom
8,75,120,Marrom
8,75,135,Vermelho Escuro
8,75,150,Vermelho
8,75,165,Vermelho
8,75,180,Vermelho
8,75,195,Rosa
8,75,210,Rosa
8,75,225,Rosa
8,75,240,Rosa
8,75,255,Rosa
8,90,0,Preto
8,90,15,Preto
8,90,30,Preto
8,90,45,Marrom
8,90,60,Marrom
8,90,75,Marrom
8,90,90,Marrom
8,90,105,Marrom
8,90,120,Marrom
8,90,135,Vermelho Escuro
8,90,150,Vermelho
8,90,165,Vermelho
8,90,180,Vermelho
8,90,195,Rosa
8,90,210,Rosa
8,90,225,Rosa
8,90,240,Rosa
8,90,255,Rosa
8,105,0,Preto
8,105,15,Preto
8,105,30,Preto
8,105,45,Marrom
8,105,60,Marrom
8,105,75,Marrom
8,105,90,Marrom
8,105,105,Marrom
8,105,120,Marrom
8,105,135,Vermelho Escuro
8,105,150,Vermelho
8,105,165,Vermelho
8,105,180,Vermelho
8,105,195,Rosa
8,105,210,Rosa
8,105,225,Rosa
8,105,240,Rosa
8,105,255,Rosa
8,120,0,Preto
8,120,15,Preto
8,120,30,Preto
8,120,45,Marrom
8,120,60,Marrom
8,120,75,Marrom
8,120,90,Marrom
8,120,105,Marrom
8,120,120,Marrom
8,120,135,Vermelho Escuro
8,120,150,Vermelho
8,120,165,Vermelho
8,120,180,Vermelho
8,120,195,Rosa
8,120,210,Rosa
8,120,225,Rosa
8,120,240,Rosa
8,120,255,Rosa
8,135,0,Preto
8,135,15,Preto
8,135,30,Preto
8,135,45,Marrom
8,135,60,Marrom
8,135,75,Marrom
8,135,90,Marrom
8,135,105,Marrom
8,135,120,Marrom
8,135,135,Vermelho Escuro
8,135,150,Vermelho
8,135,165,Vermelho
8,135,180,Vermelho
8,135,195,Rosa
8,135,210,Rosa
8,135,225,Rosa
8,135,240,Rosa
8,135,255,Rosa
8,150,0,Preto
8,150,15,Preto
8,150,30,Preto
8,150,45,Marrom
8,150,60,Marrom
8,150,75,Marrom
8,150,90,Marrom
8,150,105,Marrom
8,150,120,Marrom
8,150,135,Vermelho Escuro
8,150,150,Vermelho
8,150,165,Vermelho
8,150,180,Vermelho
8,150,195,Vermelho
8,150,210,Vermelho
8,150,225,Vermelho
8,150,240,Vermelho
8,150,255,Vermelho
8,165,0,Preto
8,165,15,Preto
8,165,30,Preto
8,165,45,Marrom
8,165,60,Marrom
8,165,75,Marrom
8,165,90,Marrom
8,165,105,Marrom
8,165,120,Marrom
8,165,135,Vermelho Escuro
8,165,150,Vermelho
8,165,165,Vermelho
8,165,180,Vermelho
8,165,195,Vermelho
8,165,210,Vermelho
8,165,225,Vermelho
8,165,240,Vermelho
8,165,255,Vermelho
8,180,0,Preto
8,180,15,Preto
8,180,30,Preto
8,180,45,Marrom
8,180,60,Marrom
8,180,75,Marrom
8,180,90,Marrom
8,180,105,Marrom
8,180,120,Marrom
8,180,135,Vermelho Escuro
8,180,150,Vermelho
8,180,165,Vermelho
8,180,180,Vermelho
8,180,195,Vermelho
8,180,210,Vermelho
8,180,225,Vermelho
8,180,240,Vermelho
8,180,255,Vermelho
8,195,0,Preto
8,195,15,Preto
8,195,30,Preto
8,195,45,Marrom
8,195,60,Marrom
8,195,75,Marrom
8,195,90,Marrom
8,195,105,Marrom
8,195,120,Marrom
8,195,135,Vermelho Escuro
8,195,150,Vermelho
8,195,165,Vermelho
8,195,180,Vermelho
8,195,195,Vermelho
8,195,210,Vermelho
8,195,225,Vermelho
8,195,240,Vermelho
8,195,255,Vermelho
8,210,0,Preto
8,210,15,Preto
8,210,30,Preto
8,210,45,Marrom
8,210,60,Marrom
8,210,75,Marrom
8,210,90,Marrom
8,210,105,Marrom
8,210,120,Marrom
8,210,135,Vermelho Escuro
8,210,150,Vermelho
8,210,165,Vermelho
8,210,180,Vermelho
8,210,195,Vermelho
8,210,210,Vermelho
8,210,225,Vermelho
8,210,240,Vermelho
8,210,255,Vermelho
8,225,0,Preto
8,225,15,Preto
8,225,30,Preto
8,225,45,Marrom
8,225,60,Marrom
8,225,75,Marrom
8,225,90,Marrom
8,225,105,Marrom
8,225,120,Marrom
8,225,135,Vermelho Escuro
8,225,150,Vermelho
8,225,165,Vermelho
8,225,180,Vermelho
8,225,195,Vermelho
8,225,210,Vermelho
8,225,225,Vermelho
8,225,240,Vermelho
8,225,255,Vermelho
8,240,0,Preto
8,240,15,Preto
8,240,30,Preto
8,240,45,Marrom
8,240,60,Marrom
8,240,75,Marrom
8,240,90,Marrom
8,240,105,Marrom
8,240,120,Marrom
8,240,135,Vermelho Escuro
8,240,150,Vermelho
8,240,165,Vermelho
8,240,180,Vermelho
8,240,195,Vermelho
8,240,210,Vermelho
8,240,225,Vermelho
8,240,240,Vermelho
8,240,255,Vermelho
8,255,0,Preto
8,255,15,Preto
8,255,30,Preto
8,255,45,Marrom
8,255,60,Marrom
8,255,75,Marrom
8,255,90,Marrom
8,255,105,Marrom
8,255,120,Marrom
8,255,135,Vermelho Escuro
8,255,150,Vermelho
8,255,165,Vermelho
8,255,180,Vermelho
8,255,195,Vermelho
8,255,210,Vermelho
8,255,225,Vermelho
8,255,240,Vermelho
8,255,255,Vermelho
12,0,0,Preto
12,0,15,Preto
12,0,30,Preto
12,0,45,Cinza
12,0,60,Cinza
12,0,75,Cinza
12,0,90,Cinza
12,0,105,Cinza
12,0,120,Cinza
12,0,135,Cinza
12,0,150,Cinza
12,0,165,Cinza
12,0,180,Cinza
12,0,195,Cinza
12,0,210,Branco
12,0,225,Branco
12,0,240,Branco
12,0,255,Branco
12,15,0,Preto
12,15,15,Preto
12,15,30,Preto
12,15,45,Cinza
12,15,60,Cinza
12,15,75,Cinza
12,15,90,Cinza
12,15,105,Cinza
12,15,120,Cinza
12,15,135,Cinza
12,15,150,Cinza
12,15,165,Cinza
12,15,180,Cinza
12,15,195,Cinza
12,15,210,Branco
12,15,225,Branco
12,15,240,Branco
12,15,255,Branco
12,30,0,Preto
12,30,15,Preto
12,30,30,Preto
12,30,45,Cinza
12,30,60,Cinza
12,30,75,Cinza
12,30,90,Cinza
12,30,105,Cinza
12,30,120,Cinza
12,30,135,Cinza
12,30,150,Cinza
12,30,165,Cinza
12,30,180,Cinza
12,30,195,Cinza
12,30,210,Branco
12,30,225,Branco
12,30,240,Branco
12,30,255,Branco
12,45,0,Preto
12,45,15,Preto
12,45,30,Preto
12,45,45,Cinza
12,45,60,Cinza
12,45,75,Cinza
12,45,90,Cinza
12,45,105,Cinza
12,45,120,Cinza
12,45,135,Cinza
12,45,150,Cinza
12,45,165,Cinza
12,45,180,Cinza
12,45,195,Cinza
12,45,210,Laranja
12,45,225,Laranja
12,45,240,Laranja
12,45,255,Laranja
12,60,0,Preto
12,60,15,Preto
12,60,30,Preto
12,60,45,Marrom
12,60,60,Marrom
12,60,75,Marrom
12,60,90,Marrom
12,60,105,Marrom
12,60,120,Marrom
12,60,135,Laranja
12,60,150,Laranja
12,60,165,Laranja
12,60,180,Laranja
12,60,195,Laranja
12,60,210,Laranja
12,60,225,Laranja
12,60,240,Laranja
12,60,255,Laranja
12,75,0,Preto
12,75,15,Preto
12,75,30,Preto
12,75,45,Marrom
12,75,60,Marrom
12,75,75,Marrom
12,75,90,Marrom
12,75,105,Marrom
12,75,120,Marrom
12,75,135,Laranja
12,75,150,Laranja
12,75,165,Laranja
12,75,180,Laranja
12,75,195,Laranja
12,75,210,Laranja
12,75,225,Laranja
12,75,240,Laranja
12,75,255,Laranja
12,90,0,Preto
12,90,15,Preto
12,90,30,Preto
12,90,45,Marrom
12,90,60,Marrom
12,90,75,Marrom
12,90,90,Marrom
12,90,105,Marrom
12,90,120,Marrom
12,90,135,Laranja
12,90,150,Laranja
12,90,165,Laranja
12,90,180,Laranja
12,90,195,Laranja
12,90,210,Laranja
12,90,225,Laranja
12,90,240,Laranja
12,90,255,Laranja
12,105,0,Preto
12,105,15,Preto
12,105,30,Preto
12,105,45,Marrom
12,105,60,Marrom
12,105,75,Marrom
12,105,90,Marrom
12,105,105,Marrom
12,105,120,Marrom
12,105,135,Laranja
12,105,150,Laranja
12,105,165,Laranja
12,105,180,Laranja
12,105,195,Laranja
12,105,210,Laranja
12,105,225,Laranja
12,105,240,Laranja
12,105,255,Laranja
12,120,0,Preto
12,120,15,Preto
12,120,30,Preto
12,120,45,Marrom
12,120,60,Marrom
12,120,75,Marrom
12,120,90,Marrom
12,120,105,Marrom
12,120,120,Marrom
12,120,135,Laranja
12,120,150,Laranja
12,120,165,Laranja
12,120,180,Laranja
12,120,195,Laranja
12,120,210,Laranja
12,120,225,Laranja
12,120,240,Laranja
12,120,255,Laranja
12,135,0,Preto
12,135,15,Preto
12,135,30,Preto
12,135,45,Marrom
12,135,60,Marrom
12,135,75,Marrom
12,135,90,Marrom
12,135,105,Marrom
12,135,120,Marrom
12,135,135,Laranja
12,135,150,Laranja
12,135,165,Laranja
12,135,180,Laranja
12,135,195,Laranja
12,135,210,Laranja
12,135,225,Laranja
12,135,240,Laranja
12,135,255,Laranja
12,150,0,Preto
12,150,15,Preto
12,150,30,Preto
12,150,45,Marrom
12,150,60,Marrom
12,150,75,Marrom
12,150,90,Marrom
12,150,105,Marrom
12,150,120,Marrom
12,150,135,Laranja
12,150,150,Laranja
12,150,165,Laranja
12,150,180,Laranja
12,150,195,Laranja
12,150,210,Laranja
12,150,225,Laranja
12,150,240,Laranja
12,150,255,Laranja
12,165,0,Preto
12,165,15,Preto
12,165,30,Preto
12,165,45,Marrom
12,165,60,Marrom
12,165,75,Marrom
12,165,90,Marrom
12,165,105,Marrom
12,165,120,Marrom
12,165,135,Laranja
12,165,150,Laranja
12,165,165,Laranja
12,165,180,Laranja
12,165,195,Laranja
12,165,210,Laranja
12,165,225,Laranja
12,165,240,Laranja
12,165,255,Laranja
12,180,0,Preto
12,180,15,Preto
12,180,30,Preto
12,180,45,Marrom
12,180,60,Marrom
12,180,75,Marrom
12,180,90,Marrom
12,180,105,Marrom
12,180,120,Marrom
12,180,135,Laranja
12,180,150,Laranja
12,180,165,Laranja
12,180,180,Laranja
12,180,195,Laranja
12,180,210,Laranja
12,180,225,Laranja
12,180,240,Laranja
12,180,255,Laranja
12,195,0,Preto
12,195,15,Preto
12,195,30,Preto
12,195,45,Marrom
12,195,60,Marrom
12,195,75,Marrom
12,195,90,Marrom
12,195,105,Marrom
12,195,120,Marrom
12,195,135,Laranja
12,195,150,Laranja
12,195,165,Laranja
12,195,180,Laranja
12,195,195,Laranja
12,195,210,Laranja
12,195,225,Laranja
12,195,240,Laranja
12,195,255,Laranja
12,210,0,Preto
12,210,15,Preto
12,210,30,Preto
12,210,45,Marrom
12,210,60,Marrom
12,210,75,Marrom
12,210,90,Marrom
12,210,105,Marrom
12,210,120,Marrom
12,210,135,Laranja
12,210,150,Laranja
12,210,165,Laranja
12,210,180,Laranja
12,210,195,Laranja
12,210,210,Laranja
12,210,225,Laranja
12,210,240,Laranja
12,210,255,Laranja
12,225,0,Preto
12,225,15,Preto
12,225,30,Preto
12,225,45,Marrom
12,225,60,Marrom
12,225,75,Marrom
12,225,90,Marrom
12,225,105,Marrom
12,225,120,Marrom
12,225,135,Laranja
